nome,ano,genero,generos_full,plataforma,plataformas_full,publisher,developer,nota,faixa_etaria,descricao,popularidade,playtime,tamanho_jogo,ratings_count,suggestions_count,engajamento_bruto,palavras_chave
PAGO FOREST: TOWER DEFENSE,2020,Strategy,Strategy,PC,PC,Futurtech,Futurtech,0.0,N/A,PAGO FOREST: TOWER DEFENSE é um jogo de Strategy lançado em 2020 para PC.,0.0337,0,curto,0,571,571.0,pago forest: tower defense strategy pc futurtech futurtech
Whispers of the Ancients,0,Adventure,Adventure||RPG||Casual||Indie,PC,PC,Fabreca Studio,Mumin Bayar,0.0,N/A,Whispers of the Ancients é um jogo de Adventure para PC.,0.0337,0,curto,0,570,570.0,whispers of the ancients adventure||rpg||casual||indie pc fabreca studio mumin bayar
The Final Take,2016,Action,Action||Adventure||Simulation||Indie,iOS,iOS||macOS||Android||Linux||PC,Forever Entertainment,Forever Entertainment,0.0,N/A,The Final Take é um jogo de Action lançado em 2016 para iOS.,0.0337,4,curto,5,322,571.0,the final take action||adventure||simulation||indie ios||macos||android||linux||pc forever entertainment forever entertainment
Nomads of the Fallen Star,2019,RPG,RPG||Strategy||Simulation||Indie,iOS,iOS||PC,Huy Phan,Huy Phan,0.0,N/A,Nomads of the Fallen Star é um jogo de RPG lançado em 2019 para iOS.,0.0337,2,curto,0,561,571.0,nomads of the fallen star rpg||strategy||simulation||indie ios||pc huy phan huy phan
Borderlands 2: Psycho Pack,2013,Action,Action||Shooter||RPG,PC,PC||PlayStation 3,2K Games,Gearbox Software,3.5,N/A,Borderlands 2: Psycho Pack é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 3.5/5 na base RAWG.,0.0337,0,curto,6,554,571.0,borderlands 2: psycho pack action||shooter||rpg pc||playstation 3 2k games gearbox software
Two Worlds II: Velvet Game of the Year Edition,2011,Action,Action||RPG,PC,PC||PlayStation 3,Reality Pump Studios,Topware Interactive,0.0,N/A,Two Worlds II: Velvet Game of the Year Edition é um jogo de Action lançado em 2011 para PC.,0.0337,0,curto,2,568,571.5,two worlds ii: velvet game of the year edition action||rpg pc||playstation 3 reality pump studios topware interactive
Winterheart's Guild,0,Action,Action||RPG,PC,PC,,InferiArt,0.0,N/A,Winterheart's Guild é um jogo de Action para PC.,0.0337,0,curto,0,570,570.0,winterheart's guild action||rpg pc  inferiart
Fate/EXTELLA: The Umbral Star,2016,Action,Action,Nintendo Switch,Nintendo Switch||PlayStation 4,XSEED Games,XSEED JKS,0.0,+13,Fate/EXTELLA: The Umbral Star é um jogo de Action lançado em 2016 para Nintendo Switch.,0.0337,0,curto,4,553,570.0,fate/extella: the umbral star action nintendo switch||playstation 4 xseed games xseed jks
Tokyo Babel,2016,Adventure,Adventure,PC,PC,MangaGamer,propeller,0.0,N/A,Tokyo Babel é um jogo de Adventure lançado em 2016 para PC.,0.0337,8,medio,1,559,570.0,tokyo babel adventure pc mangagamer propeller
Agricultural Simulator 2011: Extended Edition,2011,Simulation,Simulation,PC,PC,Libredia,United Independent Entertainment,0.0,N/A,Agricultural Simulator 2011: Extended Edition é um jogo de Simulation lançado em 2011 para PC.,0.0337,1,curto,5,453,571.0,agricultural simulator 2011: extended edition simulation pc libredia united independent entertainment
Dragon Quest VIII: Journey of the Cursed King,2004,RPG,RPG,iOS,iOS||Android||PlayStation 2||Nintendo 3DS,Square Enix,Square Enix,4.4,+13,Dragon Quest VIII: Journey of the Cursed King é um jogo de RPG lançado em 2004 para iOS. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.0337,0,curto,47,420,570.0,dragon quest viii: journey of the cursed king rpg ios||android||playstation 2||nintendo 3ds square enix square enix
Taimanin Collection: Battle Arena,2020,Casual,Casual,macOS,macOS||PC,Infini-Brain,Lilith,0.0,N/A,Taimanin Collection: Battle Arena é um jogo de Casual lançado em 2020 para macOS.,0.0337,1,curto,0,518,570.0,taimanin collection: battle arena casual macos||pc infini-brain lilith
Daydreamer,2015,Arcade,Arcade,PC,PC,Roland Studios,Roland Studios,0.0,N/A,Daydreamer é um jogo de Arcade lançado em 2015 para PC.,0.0337,0,curto,0,569,571.0,daydreamer arcade pc roland studios roland studios
Graven,0,Shooter,Shooter,Nintendo Switch,Nintendo Switch||Xbox Series S/X||PlayStation 4||Xbox One||PlayStation 5||PC,3D Realms,Slipgate Ironworksâ„¢,0.0,N/A,Graven é um jogo de Shooter para Nintendo Switch.,0.0337,5,curto,0,562,570.0,graven shooter nintendo switch||xbox series s/x||playstation 4||xbox one||playstation 5||pc 3d realms slipgate ironworksa„¢
Battle for Atlantis,0,Strategy,Strategy,PC,PC,,World Forge,0.0,N/A,Battle for Atlantis é um jogo de Strategy para PC.,0.0337,0,curto,0,571,571.0,battle for atlantis strategy pc  world forge
Mutant Storm Empire,2007,Action,Action||Shooter||Arcade,Xbox 360,Xbox 360||PC,Microsoft Studios,PomPom Games,0.0,+10,Mutant Storm Empire é um jogo de Action lançado em 2007 para Xbox 360.,0.0337,0,curto,5,527,571.5,mutant storm empire action||shooter||arcade xbox 360||pc microsoft studios pompom games
Nibiru: Age of Secrets,2005,Adventure,Adventure,PC,PC,The Adventure Company,Future Games,3.6,N/A,Nibiru: Age of Secrets é um jogo de Adventure lançado em 2005 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.0337,0,curto,8,545,570.0,nibiru: age of secrets adventure pc the adventure company future games
Red Stone 2: Adventurers of Prominence,0,RPG,RPG||Massively Multiplayer,PC,PC,L&K Logic Korea,L&K Logic Korea,0.0,N/A,Red Stone 2: Adventurers of Prominence é um jogo de RPG para PC.,0.0337,0,curto,0,570,570.0,red stone 2: adventurers of prominence rpg||massively multiplayer pc l&k logic korea l&k logic korea
Civil War II,2014,Strategy,Strategy||Simulation,PC,PC,Slitherine,Ageod,0.0,N/A,Civil War II é um jogo de Strategy lançado em 2014 para PC.,0.0336,2,curto,0,552,568.5,civil war ii strategy||simulation pc slitherine ageod
SnarfQuest Tales,2015,Action,Action||Adventure||RPG||Indie,macOS,macOS||PC||Linux,Cellbloc Studios,Cellbloc Studios,0.0,N/A,SnarfQuest Tales é um jogo de Action lançado em 2015 para macOS.,0.0336,0,curto,0,567,569.0,snarfquest tales action||adventure||rpg||indie macos||pc||linux cellbloc studios cellbloc studios
ARENA Online: Dragon Age,2008,RPG,RPG||Massively Multiplayer,PC,PC,GDTeam,GDTeam,0.0,N/A,ARENA Online: Dragon Age é um jogo de RPG lançado em 2008 para PC.,0.0336,0,curto,2,566,568.5,arena online: dragon age rpg||massively multiplayer pc gdteam gdteam
The Shadows of Pygmalion,2017,Action,Action||Casual,PC,PC,MangaGamer,propeller,0.0,N/A,The Shadows of Pygmalion é um jogo de Action lançado em 2017 para PC.,0.0336,7,medio,0,559,569.0,the shadows of pygmalion action||casual pc mangagamer propeller
O3DX (itch),2014,Simulation,Simulation||Racing,PC,PC,,O3DX,0.0,N/A,O3DX (itch) é um jogo de Simulation lançado em 2014 para PC.,0.0336,0,curto,0,569,569.0,o3dx (itch) simulation||racing pc  o3dx
Super Mario Party,2018,Board Games,Board Games||Family,Nintendo Switch,Nintendo Switch,Nintendo,Nintendo,3.9,LIVRE,Super Mario Party é um jogo de Board Games lançado em 2018 para Nintendo Switch. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.0336,0,curto,166,154,569.0,super mario party board games||family nintendo switch nintendo nintendo
Breakout Invaders,2015,Action,Action||Casual||Indie,PC,PC,DreamsSoftGames,DreamsSoftGames,0.0,N/A,Breakout Invaders é um jogo de Action lançado em 2015 para PC.,0.0336,1,curto,4,421,568.5,breakout invaders action||casual||indie pc dreamssoftgames dreamssoftgames
STAR WARS: Episode I Racer,1999,Action,Action||Racing||Arcade,Nintendo Switch,Nintendo Switch||PlayStation 4||PC||Dreamcast||Nintendo 64||Game Boy Color||Classic Macintosh,Nintendo,LucasArts Entertainment,4.1,LIVRE,STAR WARS: Episode I Racer é um jogo de Action lançado em 1999 para Nintendo Switch. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.0336,0,curto,76,382,568.5,star wars: episode i racer action||racing||arcade nintendo switch||playstation 4||pc||dreamcast||nintendo 64||game boy color||classic macintosh nintendo lucasarts entertainment
Infestation: Battle Royale,2020,Action,Action||Massively Multiplayer||Indie,PC,PC,OP Productions,Fredaikis,0.0,N/A,Infestation: Battle Royale é um jogo de Action lançado em 2020 para PC.,0.0336,1,curto,0,536,569.0,infestation: battle royale action||massively multiplayer||indie pc op productions fredaikis
Girls' civilization,2019,Action,Action||RPG||Strategy,PC,PC,Moondolino,Moondolino,0.0,N/A,Girls' civilization é um jogo de Action lançado em 2019 para PC.,0.0336,0,curto,1,568,568.5,girls' civilization action||rpg||strategy pc moondolino moondolino
Radial-G: Racing Revolved,2016,Action,Action||Racing||Indie,PC,PC||PlayStation 4,Tammeka Games,Tammeka Games,0.0,+10,Radial-G: Racing Revolved é um jogo de Action lançado em 2016 para PC.,0.0336,1,curto,0,550,568.5,radial-g: racing revolved action||racing||indie pc||playstation 4 tammeka games tammeka games
Tzar: The Burden of the Crown,2000,Strategy,Strategy,PC,PC,Haemimont Games,Haemimont Games,4.1,N/A,Tzar: The Burden of the Crown é um jogo de Strategy lançado em 2000 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.0336,1,curto,20,499,569.5,tzar: the burden of the crown strategy pc haemimont games haemimont games
War Chess,2003,,,PC,PC,KozmoGames,KozmoGames,0.0,N/A,War Chess é um jogo de gênero indefinido lançado em 2003 para PC.,0.0336,0,curto,0,565,569.0,war chess  pc kozmogames kozmogames
В тылу врага 2: Братья по оружию,2007,Strategy,Strategy,PC,PC,,Best Way,0.0,N/A,В тылу врага 2: Братья по оружию é um jogo de Strategy lançado em 2007 para PC.,0.0336,0,curto,5,549,568.5,в тылу врага 2: братья по оружию strategy pc  best way
Sid Meier's Civilization 4: Warlords,2006,Strategy,Strategy,PC,PC,2K Games,Firaxis,4.1,N/A,Sid Meier's Civilization 4: Warlords é um jogo de Strategy lançado em 2006 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.0336,0,curto,7,545,568.5,sid meier's civilization 4: warlords strategy pc 2k games firaxis
Final Fantasy XI: Chains of Promathia,2004,RPG,RPG||Massively Multiplayer,PC,PC||PlayStation 2,Square Enix,Square Enix,0.0,N/A,Final Fantasy XI: Chains of Promathia é um jogo de RPG lançado em 2004 para PC.,0.0336,0,curto,3,562,569.5,final fantasy xi: chains of promathia rpg||massively multiplayer pc||playstation 2 square enix square enix
Raiden IV: OverKill,2014,Action,Action||Shooter||Arcade,PC,PC||PlayStation 3,H2 Interactive Co,Moss Co,0.0,+10,Raiden IV: OverKill é um jogo de Action lançado em 2014 para PC.,0.0336,3,curto,4,460,569.0,raiden iv: overkill action||shooter||arcade pc||playstation 3 h2 interactive co moss co
Hell: Fight for Gilrand,2014,Strategy,Strategy||Board Games,iOS,iOS||PC,Slitherine,Slitherine,0.0,+10,Hell: Fight for Gilrand é um jogo de Strategy lançado em 2014 para iOS.,0.0336,0,curto,0,569,569.0,hell: fight for gilrand strategy||board games ios||pc slitherine slitherine
Zombie Grenades Practice,2018,Action,Action||Adventure||Strategy,PC,PC,AGA Ad Media LLP,ARVI,0.0,N/A,Zombie Grenades Practice é um jogo de Action lançado em 2018 para PC.,0.0336,0,curto,0,568,569.0,zombie grenades practice action||adventure||strategy pc aga ad media llp arvi
Revenant,1999,Action,Action||RPG,PC,PC,Square Enix,Cinematix Studios,3.9,+17,Revenant é um jogo de Action lançado em 1999 para PC. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.0336,1,curto,22,486,568.5,revenant action||rpg pc square enix cinematix studios
IL-2 Sturmovik: Battle of Stalingrad,2014,Simulation,Simulation,PC,PC,1C Company,777 Studios,3.7,N/A,IL-2 Sturmovik: Battle of Stalingrad é um jogo de Simulation lançado em 2014 para PC. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.0336,2,curto,5,488,569.5,il-2 sturmovik: battle of stalingrad simulation pc 1c company 777 studios
Shrouded Tales: Revenge of Shadows Collector's Edition,2017,Adventure,Adventure||Casual,PC,PC,Big Fish Games,Friendly Cactus,0.0,LIVRE,Shrouded Tales: Revenge of Shadows Collector's Edition é um jogo de Adventure lançado em 2017 para PC.,0.0336,0,curto,0,566,569.0,shrouded tales: revenge of shadows collector's edition adventure||casual pc big fish games friendly cactus
Star Ocean: Second Evolution,2008,RPG,RPG,PSP,PSP,Square Enix,Tose,0.0,N/A,Star Ocean: Second Evolution é um jogo de RPG lançado em 2008 para PSP.,0.0336,0,curto,2,561,569.5,star ocean: second evolution rpg psp square enix tose
Veil of Crows,2017,RPG,RPG||Strategy,PC,PC,Humble Sage Games,Kerry Fawdray,0.0,N/A,Veil of Crows é um jogo de RPG lançado em 2017 para PC.,0.0336,2,curto,1,561,568.5,veil of crows rpg||strategy pc humble sage games kerry fawdray
Vandal Hearts: Flames of Judgment,2010,RPG,RPG||Strategy,PlayStation 3,PlayStation 3,Konami,Konami Digital Entertainment,0.0,+13,Vandal Hearts: Flames of Judgment é um jogo de RPG lançado em 2010 para PlayStation 3.,0.0336,1,curto,5,537,569.0,vandal hearts: flames of judgment rpg||strategy playstation 3 konami konami digital entertainment
The Wind Road 紫塞秋风,2020,Action,Action||Adventure||RPG||Indie,PC,PC,FHYX（凤凰游戏）,甘肃嘉元数字科技有限公司,0.0,N/A,The Wind Road 紫塞秋风 é um jogo de Action lançado em 2020 para PC.,0.0336,0,curto,0,567,569.0,the wind road 紫塞秋风 action||adventure||rpg||indie pc fhyx（凤凰游戏） 甘肃嘉元数字科技有限公司
The Tenth Line,2017,RPG,RPG||Indie,macOS,macOS||PC||PlayStation 4,Sungazer Software,Sungazer Software,0.0,+10,The Tenth Line é um jogo de RPG lançado em 2017 para macOS.,0.0336,1,curto,1,539,569.5,the tenth line rpg||indie macos||pc||playstation 4 sungazer software sungazer software
Astrox: Hostile Space Excavation,2015,Adventure,Adventure||Simulation||Indie,PC,PC||Linux||macOS,Jace Masula,Jace Masula,0.0,N/A,Astrox: Hostile Space Excavation é um jogo de Adventure lançado em 2015 para PC.,0.0336,4,curto,1,535,569.0,astrox: hostile space excavation adventure||simulation||indie pc||linux||macos jace masula jace masula
Tyler: Model 005,2017,Action,Action||Adventure||RPG||Indie,PC,PC||Xbox One,Reversed Interactive,Reversed Interactive,0.0,N/A,Tyler: Model 005 é um jogo de Action lançado em 2017 para PC.,0.0336,3,curto,2,521,569.0,tyler: model 005 action||adventure||rpg||indie pc||xbox one reversed interactive reversed interactive
Wolf Simulator,2014,Action,Action||Adventure||RPG||Simulation||Racing||Indie,iOS,iOS||PC,Dagestan Technology,DevelopmentSquared,2.1,+13,Wolf Simulator é um jogo de Action lançado em 2014 para iOS. Ele possui nota média aproximada de 2.1/5 na base RAWG.,0.0336,3,curto,7,382,568.5,wolf simulator action||adventure||rpg||simulation||racing||indie ios||pc dagestan technology developmentsquared
Void's Calling ep.1,0,RPG,RPG||Indie,Linux,Linux||PC,Novel,Novel,0.0,N/A,Void's Calling ep.1 é um jogo de RPG para Linux.,0.0336,1,curto,1,548,568.5,void's calling ep.1 rpg||indie linux||pc novel novel
Mortal Kombat (1993),1993,Arcade,Arcade||Fighting,PC,PC,Acclaim Entertainment,Midway Games,4.1,N/A,Mortal Kombat (1993) é um jogo de Arcade lançado em 1993 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.0336,0,curto,31,496,569.0,mortal kombat (1993) arcade||fighting pc acclaim entertainment midway games
Soul Master,2010,Strategy,Strategy,PC,PC,OnNet USA,nPluto,0.0,N/A,Soul Master é um jogo de Strategy lançado em 2010 para PC.,0.0336,0,curto,0,569,569.0,soul master strategy pc onnet usa npluto
Moscow to Berlin,2006,Strategy,Strategy,PC,PC,Monte Cristo Multimedia,INtex Publishing,0.0,N/A,Moscow to Berlin é um jogo de Strategy lançado em 2006 para PC.,0.0336,0,curto,0,568,569.0,moscow to berlin strategy pc monte cristo multimedia intex publishing
Space Pirate Trainer,2016,Action,Action,PC,PC||PlayStation 4,I-Illusions,I-Illusions,3.6,+13,Space Pirate Trainer é um jogo de Action lançado em 2016 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.0336,1,curto,27,255,569.0,space pirate trainer action pc||playstation 4 i-illusions i-illusions
Hegemony Rome: The Rise of Caesar,2014,RPG,RPG||Strategy||Simulation||Indie,PC,PC,Kalypso,Longbow Games,0.0,N/A,Hegemony Rome: The Rise of Caesar é um jogo de RPG lançado em 2014 para PC.,0.0336,3,curto,3,443,569.5,hegemony rome: the rise of caesar rpg||strategy||simulation||indie pc kalypso longbow games
Dragon Lore: The Legend Begins,1994,Adventure,Adventure,macOS,macOS||3DO||PC,Anuman Interactive,Cryo Interactive,0.0,+13,Dragon Lore: The Legend Begins é um jogo de Adventure lançado em 1994 para macOS.,0.0336,0,curto,4,535,568.5,dragon lore: the legend begins adventure macos||3do||pc anuman interactive cryo interactive
Infestation: Survivor Stories,2012,Action,Action||Shooter,PC,PC,Arktos Entertainment Group,Hammerpoint Interactive,0.0,N/A,Infestation: Survivor Stories é um jogo de Action lançado em 2012 para PC.,0.0336,3,curto,4,555,569.0,infestation: survivor stories action||shooter pc arktos entertainment group hammerpoint interactive
Men of Valor,2004,Action,Action,PC,PC,THQ Nordic,2015,3.7,N/A,Men of Valor é um jogo de Action lançado em 2004 para PC. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.0336,2,curto,7,508,568.5,men of valor action pc thq nordic 2015
Witch Blood,2018,Action,Action||Adventure||Indie,PC,PC,Kerim Kumbasar,Kerim Kumbasar,0.0,N/A,Witch Blood é um jogo de Action lançado em 2018 para PC.,0.0336,0,curto,1,567,568.5,witch blood action||adventure||indie pc kerim kumbasar kerim kumbasar
Maximo vs. Army of Zin,2003,,,PlayStation 2,PlayStation 2||PlayStation 3,Capcom,Capcom,4.2,+13,Maximo vs. Army of Zin é um jogo de gênero indefinido lançado em 2003 para PlayStation 2. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.0336,0,curto,5,554,569.0,maximo vs. army of zin  playstation 2||playstation 3 capcom capcom
"Robots, Death & Venice",2020,Action,Action||Adventure||Indie,PC,PC,FX Animation | Barcelona 3D & Film School,FX Animation | Barcelona 3D & Film School,0.0,N/A,"Robots, Death & Venice é um jogo de Action lançado em 2020 para PC.",0.0336,0,curto,0,569,569.0,"robots, death & venice action||adventure||indie pc fx animation | barcelona 3d & film school fx animation | barcelona 3d & film school"
Tales,2016,Adventure,Adventure||Indie,PC,PC,Screen 7,Ape Marina,0.0,N/A,Tales é um jogo de Adventure lançado em 2016 para PC.,0.0336,4,curto,2,533,569.0,tales adventure||indie pc screen 7 ape marina
Annie,0,Action,Action||Adventure||RPG||Indie,PC,PC,Pixel Rice,Pixel Rice,0.0,N/A,Annie é um jogo de Action para PC.,0.0336,3,curto,2,556,569.0,annie action||adventure||rpg||indie pc pixel rice pixel rice
Uru: Ages Beyond Myst,2003,Adventure,Adventure,PC,PC,Ubisoft Entertainment,Cyan Worlds,0.0,N/A,Uru: Ages Beyond Myst é um jogo de Adventure lançado em 2003 para PC.,0.0336,0,curto,4,559,568.5,uru: ages beyond myst adventure pc ubisoft entertainment cyan worlds
Wizard101,2008,RPG,RPG||Massively Multiplayer,PC,PC,KingsIsle Entertainment,KingsIsle Entertainment,3.9,N/A,Wizard101 é um jogo de RPG lançado em 2008 para PC. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.0336,1,curto,14,481,569.5,wizard101 rpg||massively multiplayer pc kingsisle entertainment kingsisle entertainment
Fractured Lands,2018,Action,Action,PC,PC,Unbroken Studios,Unbroken Studios,0.0,N/A,Fractured Lands é um jogo de Action lançado em 2018 para PC.,0.0335,1,curto,2,516,568.0,fractured lands action pc unbroken studios unbroken studios
The Black Watchmen,2015,Adventure,Adventure||RPG||Massively Multiplayer||Indie,macOS,macOS||PC,Alice & Smith,Alice & Smith,2.5,N/A,The Black Watchmen é um jogo de Adventure lançado em 2015 para macOS. Ele possui nota média aproximada de 2.5/5 na base RAWG.,0.0335,3,curto,15,336,566.5,the black watchmen adventure||rpg||massively multiplayer||indie macos||pc alice & smith alice & smith
Ape Escape 2,2016,Platformer,Platformer,PlayStation 2,PlayStation 2||PlayStation 4,,Sony Interactive Entertainment,3.7,+10,Ape Escape 2 é um jogo de Platformer lançado em 2016 para PlayStation 2. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.0335,0,curto,45,370,567.0,ape escape 2 platformer playstation 2||playstation 4  sony interactive entertainment
Melty Blood Actress Again Current Code,2016,Action,Action||Arcade||Fighting,PC,PC,Arc System Works,FRENCH-BREAD,4.1,N/A,Melty Blood Actress Again Current Code é um jogo de Action lançado em 2016 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.0335,3,curto,18,431,567.0,melty blood actress again current code action||arcade||fighting pc arc system works french-bread
Requital,2006,Action,Action||RPG,PC,PC,Excalibur Publishing,Primal Software,0.0,N/A,Requital é um jogo de Action lançado em 2006 para PC.,0.0335,0,curto,2,560,566.5,requital action||rpg pc excalibur publishing primal software
Tumbleweed Express,2016,Action,Action||Adventure||Indie,PC,PC||Linux||macOS,The Dirigiballers,The Dirigiballers,0.0,N/A,Tumbleweed Express é um jogo de Action lançado em 2016 para PC.,0.0335,3,curto,1,560,568.0,tumbleweed express action||adventure||indie pc||linux||macos the dirigiballers the dirigiballers
Botanica: Into the Unknown Collector's Edition,2017,Adventure,Adventure||Casual,PC,PC,Big Fish Games,Boomzap Entertainment,0.0,N/A,Botanica: Into the Unknown Collector's Edition é um jogo de Adventure lançado em 2017 para PC.,0.0335,0,curto,0,567,568.0,botanica: into the unknown collector's edition adventure||casual pc big fish games boomzap entertainment
The Zombiest Adventures In The Perverted Age of Enlightenment With a Pinch of Woodpunk,2017,Action,Action||Adventure||RPG||Indie,PC,PC,Snowbird Games,ORGS Studio,0.0,N/A,The Zombiest Adventures In The Perverted Age of Enlightenment With a Pinch of Woodpunk é um jogo de Action lançado em 2017 para PC.,0.0335,5,curto,0,564,568.0,the zombiest adventures in the perverted age of enlightenment with a pinch of woodpunk action||adventure||rpg||indie pc snowbird games orgs studio
Boyz Don't Cry,2005,Adventure,Adventure,PC,PC,L'Art,L'Art,0.0,N/A,Boyz Don't Cry é um jogo de Adventure lançado em 2005 para PC.,0.0335,0,curto,0,564,568.0,boyz don't cry adventure pc l'art l'art
IronOne: Republic Crusaders,2007,Action,Action||Shooter,PC,PC,Openoko Entertainment,Ural Games,0.0,N/A,IronOne: Republic Crusaders é um jogo de Action lançado em 2007 para PC.,0.0335,0,curto,0,568,568.0,ironone: republic crusaders action||shooter pc openoko entertainment ural games
Shadowland Online,2012,Strategy,Strategy,PC,PC,GameSamba,ZQGame,0.0,N/A,Shadowland Online é um jogo de Strategy lançado em 2012 para PC.,0.0335,0,curto,0,568,568.0,shadowland online strategy pc gamesamba zqgame
В тылу врага: Диверсанты 3,2008,Strategy,Strategy,PC,PC,,Realore Studios,0.0,N/A,В тылу врага: Диверсанты 3 é um jogo de Strategy lançado em 2008 para PC.,0.0335,0,curto,2,560,567.5,в тылу врага: диверсанты 3 strategy pc  realore studios
Trinity Online,2009,RPG,RPG||Massively Multiplayer,PC,PC,Goorm Interactive,Goorm Interactive,0.0,N/A,Trinity Online é um jogo de RPG lançado em 2009 para PC.,0.0335,0,curto,1,567,568.0,trinity online rpg||massively multiplayer pc goorm interactive goorm interactive
System Failure,2018,Puzzle,Puzzle||Platformer,PC,PC,,David Ayliff,0.0,N/A,System Failure é um jogo de Puzzle lançado em 2018 para PC.,0.0335,0,curto,0,568,568.0,system failure puzzle||platformer pc  david ayliff
Ecstatica 2,1997,Action,Action||Adventure,PC,PC,Psygnosis,Andrew Spencer Studios,4.1,N/A,Ecstatica 2 é um jogo de Action lançado em 1997 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.0335,0,curto,8,547,567.5,ecstatica 2 action||adventure pc psygnosis andrew spencer studios
Shrek SuperSlam,2005,Arcade,Arcade||Fighting,PC,PC||Xbox||Nintendo DS||GameCube||Game Boy Advance||PlayStation 2,Activision Blizzard,LTI Gray Matter,3.0,N/A,Shrek SuperSlam é um jogo de Arcade lançado em 2005 para PC. Ele possui nota média aproximada de 3.0/5 na base RAWG.,0.0335,0,curto,19,535,568.0,shrek superslam arcade||fighting pc||xbox||nintendo ds||gamecube||game boy advance||playstation 2 activision blizzard lti gray matter
Blackfaun,2016,Action,Action||RPG||Indie,PC,PC||macOS,Wild Guess Software,Wild Guess Software,0.0,N/A,Blackfaun é um jogo de Action lançado em 2016 para PC.,0.0335,5,curto,2,559,568.0,blackfaun action||rpg||indie pc||macos wild guess software wild guess software
Bangai-O HD,2011,Shooter,Shooter,Xbox 360,Xbox 360,D3Publisher of America,Treasure,0.0,+10,Bangai-O HD é um jogo de Shooter lançado em 2011 para Xbox 360.,0.0335,1,curto,4,542,568.0,bangai-o hd shooter xbox 360 d3publisher of america treasure
Star Wars: Empire at War - Forces of Corruption,2006,Strategy,Strategy,PC,PC,LucasArts Entertainment,Petroglyph Games,4.1,N/A,Star Wars: Empire at War - Forces of Corruption é um jogo de Strategy lançado em 2006 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.0335,0,curto,10,543,568.0,star wars: empire at war - forces of corruption strategy pc lucasarts entertainment petroglyph games
Soda Dungeon 2,2020,Adventure,Adventure||RPG||Casual,Android,Android||iOS||PC,Armor Games Studios,Armor Games,0.0,+10,Soda Dungeon 2 é um jogo de Adventure lançado em 2020 para Android.,0.0335,3,curto,4,384,567.5,soda dungeon 2 adventure||rpg||casual android||ios||pc armor games studios armor games
SONIC 4 Episode II,2012,Action,Action||Arcade||Platformer,Android,Android||Xbox 360,SEGA,SEGA,3.7,LIVRE,SONIC 4 Episode II é um jogo de Action lançado em 2012 para Android. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.0335,0,curto,7,518,566.5,sonic 4 episode ii action||arcade||platformer android||xbox 360 sega sega
A Robot Named Fight!,2017,Action,Action||Indie,PC,PC||macOS||Nintendo Switch,Hitcents,Matt Bitner,0.0,N/A,A Robot Named Fight! é um jogo de Action lançado em 2017 para PC.,0.0335,3,curto,5,476,566.5,a robot named fight! action||indie pc||macos||nintendo switch hitcents matt bitner
Castlevania: Rondo of Blood,1993,Adventure,Adventure,PlayStation 4,PlayStation 4||SNES||PSP||Wii,Konami,Konami Digital Entertainment,4.4,N/A,Castlevania: Rondo of Blood é um jogo de Adventure lançado em 1993 para PlayStation 4. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.0335,0,curto,31,468,568.0,castlevania: rondo of blood adventure playstation 4||snes||psp||wii konami konami digital entertainment
Arc The Lad: Twilight of the Spirits,2003,,,PlayStation 4,PlayStation 4||PlayStation 2,Sony Computer Entertainment,,3.6,+13,Arc The Lad: Twilight of the Spirits é um jogo de gênero indefinido lançado em 2003 para PlayStation 4. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.0335,0,curto,9,523,568.0,arc the lad: twilight of the spirits  playstation 4||playstation 2 sony computer entertainment
Copter and Sky,2016,Action,Action||Simulation||Casual||Indie,PC,PC,Kopnin Pavel,Kopnin Pavel,0.0,N/A,Copter and Sky é um jogo de Action lançado em 2016 para PC.,0.0335,1,curto,1,530,568.0,copter and sky action||simulation||casual||indie pc kopnin pavel kopnin pavel
Deepworld,2015,Action,Action||Adventure||RPG||Casual||Massively Multiplayer||Indie,PC,PC,Bytebin,Bytebin,0.0,N/A,Deepworld é um jogo de Action lançado em 2015 para PC.,0.0335,1,curto,5,386,567.0,deepworld action||adventure||rpg||casual||massively multiplayer||indie pc bytebin bytebin
